V1,V2,P1,P2,timestamp
2042,2032,0,0,2025-09-07 00:29:35
2041,2030,0,0,2025-09-07 00:29:35
2047,2026,0,0,2025-09-07 00:29:35
2043,2030,0,0,2025-09-07 00:29:35
2043,2027,0,0,2025-09-07 00:29:35
2048,2027,0,0,2025-09-07 00:29:35
2045,2032,0,0,2025-09-07 00:29:35
2053,2037,0,0,2025-09-07 00:29:35
2050,2030,0,0,2025-09-07 00:29:35
2050,2028,0,0,2025-09-07 00:29:35
2048,2036,0,0,2025-09-07 00:29:35
2047,2032,0,0,2025-09-07 00:29:35
2054,2031,0,0,2025-09-07 00:29:35
2044,2033,0,0,2025-09-07 00:29:35
2046,2033,0,0,2025-09-07 00:29:35
2050,2031,0,0,2025-09-07 00:29:35
2040,2029,0,0,2025-09-07 00:29:35
2043,2032,0,0,2025-09-07 00:29:35
2039,2030,0,0,2025-09-07 00:29:35
2043,2031,0,0,2025-09-07 00:29:35
2035,2030,0,0,2025-09-07 00:29:35
2042,2032,0,0,2025-09-07 00:29:35
2043,2033,0,0,2025-09-07 00:29:35
2041,2030,0,0,2025-09-07 00:29:35
2044,2031,0,0,2025-09-07 00:29:35
2040,2034,0,0,2025-09-07 00:29:35
2039,2032,0,0,2025-09-07 00:29:35
2046,2032,0,0,2025-09-07 00:29:35
2040,2034,0,0,2025-09-07 00:29:35
2050,2029,0,0,2025-09-07 00:29:35
2052,2025,0,0,2025-09-07 00:29:35
2045,2024,0,0,2025-09-07 00:29:35
2051,2024,0,0,2025-09-07 00:29:35
2051,2023,0,0,2025-09-07 00:29:35
2051,2020,0,0,2025-09-07 00:29:35
2046,2018,0,0,2025-09-07 00:29:35
2049,2019,0,0,2025-09-07 00:29:35
2051,2017,0,0,2025-09-07 00:29:35
2048,2017,0,0,2025-09-07 00:29:35
2052,2016,0,0,2025-09-07 00:29:35
2046,2015,0,0,2025-09-07 00:29:35
2048,2014,0,0,2025-09-07 00:29:35
2047,2012,0,0,2025-09-07 00:29:35
2038,2011,0,0,2025-09-07 00:29:35
2048,2008,0,0,2025-09-07 00:29:35
2044,2006,0,0,2025-09-07 00:29:35
2051,2004,0,0,2025-09-07 00:29:35
2049,1999,0,0,2025-09-07 00:29:35
2043,1992,0,0,2025-09-07 00:29:35
2047,1993,0,0,2025-09-07 00:29:35
2044,1989,0,0,2025-09-07 00:29:35
2047,1986,0,0,2025-09-07 00:29:35
2044,1986,0,0,2025-09-07 00:29:35
2043,1978,0,0,2025-09-07 00:29:35
2040,1981,0,0,2025-09-07 00:29:35
2041,1978,0,0,2025-09-07 00:29:35
2043,1971,0,0,2025-09-07 00:29:35
2042,1967,0,0,2025-09-07 00:29:35
2039,1959,0,0,2025-09-07 00:29:35
2047,1950,0,0,2025-09-07 00:29:35
2043,1947,0,0,2025-09-07 00:29:35
2044,1945,0,0,2025-09-07 00:29:35
2040,1939,0,0,2025-09-07 00:29:35
2042,1934,0,0,2025-09-07 00:29:35
2038,1928,0,0,2025-09-07 00:29:35
2043,1928,0,0,2025-09-07 00:29:35
2033,1929,0,0,2025-09-07 00:29:35
2041,1928,0,0,2025-09-07 00:29:35
2047,1916,0,0,2025-09-07 00:29:35
2057,1938,0,0,2025-09-07 00:29:35
2031,1912,0,0,2025-09-07 00:29:35
2024,1928,0,0,2025-09-07 00:29:35
2022,1904,0,0,2025-09-07 00:29:35
2028,1898,0,0,2025-09-07 00:29:35
2034,1892,0,0,2025-09-07 00:29:35
2038,1899,0,0,2025-09-07 00:29:35
2022,1898,0,0,2025-09-07 00:29:35
2043,1889,0,0,2025-09-07 00:29:35
2029,1885,0,0,2025-09-07 00:29:35
2039,1878,0,0,2025-09-07 00:29:35
2037,1874,0,0,2025-09-07 00:29:35
2051,1849,0,0,2025-09-07 00:29:35
2024,1853,0,0,2025-09-07 00:29:35
2026,1834,0,0,2025-09-07 00:29:35
2055,1787,0,0,2025-09-07 00:29:35
0,1814,612,0,2025-09-07 00:29:36
0,1806,0,0,2025-09-07 00:29:36
164,1769,0,0,2025-09-07 00:29:36
255,1749,0,0,2025-09-07 00:29:36
470,1725,0,0,2025-09-07 00:29:36
674,1700,0,0,2025-09-07 00:29:36
815,1679,0,0,2025-09-07 00:29:36
1077,1664,0,0,2025-09-07 00:29:36
1270,1663,0,0,2025-09-07 00:29:36
1423,1644,0,0,2025-09-07 00:29:36
1622,1656,0,0,2025-09-07 00:29:36
1763,1652,0,0,2025-09-07 00:29:36
1907,1663,0,0,2025-09-07 00:29:36
2072,1657,0,0,2025-09-07 00:29:36
2189,1683,0,0,2025-09-07 00:29:36
2319,1677,0,0,2025-09-07 00:29:36
2416,1679,0,0,2025-09-07 00:29:36
2515,1694,0,0,2025-09-07 00:29:36
2598,1715,0,0,2025-09-07 00:29:36
2662,1727,0,0,2025-09-07 00:29:36
2719,1733,0,0,2025-09-07 00:29:36
2754,1752,0,0,2025-09-07 00:29:36
2783,1770,0,0,2025-09-07 00:29:36
2845,1803,0,0,2025-09-07 00:29:36
2832,1796,0,0,2025-09-07 00:29:36
2859,1826,0,0,2025-09-07 00:29:36
2868,1853,0,0,2025-09-07 00:29:36
2902,1889,0,0,2025-09-07 00:29:36
2880,1887,0,0,2025-09-07 00:29:36
2869,1921,0,0,2025-09-07 00:29:36
2851,1940,0,0,2025-09-07 00:29:36
2835,1950,0,0,2025-09-07 00:29:36
2826,1984,0,0,2025-09-07 00:29:36
2774,1981,0,0,2025-09-07 00:29:36
2780,2001,0,0,2025-09-07 00:29:36
2734,2014,0,0,2025-09-07 00:29:36
2716,2022,0,0,2025-09-07 00:29:36
2653,2051,0,0,2025-09-07 00:29:36
2687,2073,0,0,2025-09-07 00:29:36
